,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
288,CAREERP,Career Point Limited,EQ,06-OCT-2010,10,1,INE521J01018,10
289,CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10,1,INE752H01013,10
290,CARTRADE,Cartrade Tech Limited,EQ,20-AUG-2021,10,1,INE290S01011,10
291,CARYSIL,CARYSIL LIMITED,EQ,14-JAN-2021,2,1,INE482D01024,2
292,CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5
293,CCHHL,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2,1,INE652F01027,2
294,CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2
295,CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10
296,CEATLTD,CEAT Limited,EQ,01-FEB-2008,10,1,INE482A01020,10
297,CELEBRITY,Celebrity Fashions Limited,EQ,12-JAN-2006,10,1,INE185H01016,10
298,CENTENKA,Century Enka Limited,EQ,10-MAY-1995,10,1,INE485A01015,10
299,CENTEXT,Century Extrusions Limited,BE,20-JUL-2004,1,1,INE281A01026,1
300,CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10
301,CENTRUM,Centrum Capital Limited,EQ,04-APR-2018,1,1,INE660C01027,1
302,CENTUM,Centum Electronics Limited,EQ,05-OCT-2007,10,1,INE320B01020,10
303,CENTURYPLY,Century Plyboards (India) Limited,EQ,23-MAR-2006,1,1,INE348B01021,1
304,CENTURYTEX,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
305,CERA,Cera Sanitaryware Limited,EQ,02-NOV-2007,5,1,INE739E01017,5
306,CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-JUN-2013,10,1,INE345B01019,10
307,CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1
308,CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,2,1,INE180C01026,2
309,CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2
310,CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10
311,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10
312,CHEMBOND,Chembond Chemicals Ltd,EQ,20-NOV-2019,5,1,INE995D01025,5
313,CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,INE03YM01018,10
314,CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10
315,CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5
316,CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10,1,INE178A01016,10
317,CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10,1,INE974B01016,10
318,CHOICEIN,Choice International Limited,EQ,08-APR-2022,10,1,INE102B01014,10
319,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2
320,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1
321,CIGNITITEC,Cigniti Technologies Limited,EQ,13-OCT-2014,10,1,INE675C01017,10
322,CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5
323,CINEVISTA,Cinevista Limited,EQ,02-MAY-2000,2,1,INE039B01026,2
324,CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2
325,CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1
326,CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5,1,INE201M01029,5
327,CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-JUN-1995,10,1,INE492A01029,10
328,CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2,1,INE419D01026,2
329,CMICABLES,CMI Limited,EQ,29-NOV-2016,10,1,INE981B01011,10
330,CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10,1,INE925R01014,10
331,COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10
332,COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021,10,1,INE377E01016,10
333,COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,10,1,INE704P01017,10
334,COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-NOV-2015,10,1,INE335K01011,10
335,COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10
336,COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1
337,COMPINFO,Compuage Infocom Limited,EQ,07-JUL-2016,2,1,INE070C01037,2
338,COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2,1,INE453B01029,2
339,CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5
340,CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1,1,INE552D01024,1
341,CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10
342,CONTROLPR,Control Print Limited,EQ,24-JUN-2016,10,1,INE663B01015,10
343,CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,2,1,INE558D01021,2
344,CORDSCABLE,Cords Cable Industries Limited,EQ,13-FEB-2008,10,1,INE792I01017,10
345,COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1
346,COSMOFIRST,COSMO FIRST LIMITED,EQ,25-MAY-1995,10,1,INE757A01017,10
347,COUNCODOS,Country Condo's Limited,EQ,22-JAN-2009,1,1,INE695B01025,1
348,CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,INE00LO01017,5
349,CREATIVE,Creative Newtech Limited,EQ,05-AUG-2019,10,1,INE985W01018,10
350,CREATIVEYE,Creative Eye Limited,EQ,20-DEC-2000,5,1,INE230B01021,5
351,CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10
352,CREST,Crest Ventures Limited,EQ,27-DEC-2006,10,1,INE559D01011,10
353,CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1
354,CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2
355,CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10,1,INE491V01019,10
356,CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10
357,CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,10,1,INE718F01018,10
358,CTE,Cambridge Technology Enterprises Limited,EQ,07-FEB-2007,10,1,INE627H01017,10
359,CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1
360,CUBEXTUB,Cubex Tubings Limited,EQ,24-APR-1996,10,1,INE144D01012,10
361,CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2
362,CUPID,Cupid Limited,EQ,16-SEP-2016,10,1,INE509F01011,10
363,CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,10,1,INE278G01037,10
364,CYBERTECH,Cybertech Systems And Software Limited,EQ,27-JAN-1999,10,1,INE214A01019,10
365,CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5
366,DAAWAT,LT Foods Limited,EQ,18-DEC-2006,1,1,INE818H01020,1
367,DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1
368,DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2
369,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2,1,INE495A01022,2
370,DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5,1,INE497D01022,5
371,DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1
372,DATAMATICS,Datamatics Global Services Limited,EQ,07-MAY-2004,5,1,INE365B01017,5
373,DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2
374,DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10
375,DBL,Dilip Buildcon Limited,EQ,11-AUG-2016,10,1,INE917M01012,10
376,DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10
377,DBREALTY,D B Realty Limited,EQ,24-FEB-2010,10,1,INE879I01012,10
378,DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2,1,INE921B01025,2
379,DCAL,Dishman Carbogen Amcis Limited,EQ,21-SEP-2017,2,1,INE385W01011,2
380,DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10
381,DCI,Dc Infotech And Communication Limited,BE,19-OCT-2022,10,1,INE0A1101019,10
382,DCM,DCM  Limited,EQ,29-MAR-1995,10,1,INE498A01018,10
383,DCMFINSERV,DCM Financial Services Limited,BE,21-MAY-1997,10,1,INE891B01012,10
384,DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,10,1,INE08KP01019,10
385,DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2,1,INE499A01024,2
386,DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2,1,INE843D01027,2
387,DCW,DCW Limited,EQ,25-MAY-1995,2,1,INE500A01029,2
388,DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,2,1,INE0KL801015,2
389,DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5,1,INE583C01021,5
390,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10,1,INE501A01019,10
391,DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2,1,INE288B01029,2
392,DEEPENR,DEEP ENERGY RESOURCES LIMITED,BE,09-MAR-2010,10,1,INE677H01012,10
393,DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,10,1,INE0FHS01016,10
394,DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1
395,DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,10,1,INE726L01019,10
396,DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1
397,DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,10,1,INE393A01011,10
398,DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10
399,DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
400,DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,5,1,INE060X01026,5
401,DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1
402,DFMFOODS,DFM Foods Limited,EQ,29-DEC-2016,2,1,INE456C01020,2
403,DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,INE03JI01017,2
404,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10
405,DHANBANK,Dhanlaxmi Bank Limited,EQ,01-APR-2004,10,1,INE680A01011,10
406,DHANI,Dhani Services Limited,EQ,02-APR-2008,2,1,INE274G01010,2
407,DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2
408,DHARSUGAR,Dharani Sugars&Chemicals Limited,BZ,22-MAY-1996,10,1,INE988C01014,10
409,DHRUV,Dhruv Consultancy Services Limited,EQ,25-NOV-2021,10,1,INE506Z01015,10
410,DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10
411,DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5
412,DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10
413,DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,3,1,INE927C01020,3
414,DIL,Debock Industries Limited,EQ,31-MAR-2022,10,1,INE411Y01011,10
415,DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1
416,DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
417,DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2
418,DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10,1,INE0B1K01014,10
419,DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
420,DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2
421,DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10
422,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10,1,INE505A01010,10
423,DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,INE016M01021,1
424,DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10,1,INE021O01019,10
425,DOLATALGO,Dolat Algotech Limited,EQ,19-AUG-2019,1,1,INE966A01022,1
426,DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2,1,INE325C01035,2
427,DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2
428,DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020,10,1,INE266Y01019,10
429,DPSCLTD,DPSC Limited,EQ,21-APR-2008,1,1,INE360C01024,1
430,DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10,1,INE864X01013,10
431,DRCSYSTEMS,DRC Systems India Limited,BE,10-MAR-2021,1,1,INE03RS01027,1
432,DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,2,1,INE0JS101016,2
433,DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10
434,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5,1,INE089A01023,5
435,DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10,1,INE417B01040,10
436,DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10,1,INE341R01014,10
437,DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,1,1,INE741L01018,1
438,DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10,1,INE477B01010,10
439,DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1,1,INE366A01041,1
440,DYCL,Dynamic Cables Limited,EQ,27-JUL-2022,10,1,INE600Y01019,10
441,DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10,1,INE221B01012,10
442,DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,10,1,INE256H01015,10
443,E2E,E2E Networks Limited,BE,12-APR-2022,10,1,INE255Z01019,10
444,EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1,1,INE07O001026,1
445,EASTSILK,Eastern Silk Industries Limited,BE,03-JUL-1996,2,1,INE962C01027,2
446,ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10
447,EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1,1,INE532F01054,1
448,EDUCOMP,Educomp Solutions Limited,BZ,13-JAN-2006,2,1,INE216H01027,2
449,EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,INE066A01021,1
450,EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1
451,EIFFL,Euro India Fresh Foods Limited,EQ,12-OCT-2021,10,1,INE546V01010,10
452,EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10,1,INE276C01014,10
453,EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2
454,EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,10,1,INE158B01016,10
455,EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2
456,ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2,1,INE668G01021,2
457,ELECON,Elecon Engineering Company Limited,EQ,29-SEP-2006,2,1,INE205B01023,2
458,ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1
459,ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10
460,ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1
461,ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-AUG-2011,1,1,INE819L01012,1
462,EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1
463,EMAMIPAP,Emami Paper Mills Limited,EQ,30-MAY-2019,2,1,INE830C01026,2
464,EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,2,1,INE778K01012,2
465,EMIL,Electronics Mart India Limited,EQ,17-OCT-2022,10,1,INE02YR01019,10
466,EMKAY,Emkay Global Financial Services Limited,EQ,28-APR-2006,10,1,INE296H01011,10
467,EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10,1,INE753K01015,10
468,EMUDHRA,eMudhra Limited,EQ,01-JUN-2022,5,1,INE01QM01018,5
469,ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10
470,ENERGYDEV,Energy Development Company Limited,EQ,02-NOV-2007,10,1,INE306C01019,10
471,ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5
472,ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10
473,EPL,EPL Limited,EQ,11-FEB-2002,2,1,INE255A01020,2
474,EQUIPPP,Equippp Social Impact Technologies Limited,BE,19-MAY-2021,1,1,INE217G01035,1
475,EQUITAS,Equitas Holdings Limited,EQ,21-APR-2016,10,1,INE988K01017,10
476,EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-NOV-2020,10,1,INE063P01018,10
477,ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1
478,EROSMEDIA,Eros International Media Limited,BE,06-OCT-2010,10,1,INE416L01017,10
479,ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10
480,ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10
481,ESSARSHPNG,Essar Shipping Limited,EQ,15-NOV-2011,10,1,INE122M01019,10
482,ESSEN-RE1,Integra Essent Ltd-RE,BE,01-DEC-2022,1,1,INE418N20027,1
483,ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5
484,ETHOSLTD,Ethos Limited,EQ,30-MAY-2022,10,1,INE04TZ01018,10
485,EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10,1,INE022C01012,10
486,EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5,1,INE128A01029,5
487,EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10
488,EXCEL,Excel Realty N Infra Limited,EQ,03-AUG-2009,1,1,INE688J01023,1
489,EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5
490,EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1
491,EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10,1,INE201K01015,10
492,EXXARO,Exxaro Tiles Limited,EQ,16-AUG-2021,10,1,INE0GFE01018,10
493,FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10
494,FAIRCHEMOR,Fairchem Organics Limited,EQ,24-DEC-2020,10,1,INE0DNW01011,10
495,FAZE3Q,Faze Three Limited,EQ,18-NOV-2022,10,1,INE963C01033,10
496,FCL,Fineotex Chemical Limited,EQ,15-JAN-2015,2,1,INE045J01026,2
497,FCONSUMER,Future Consumer Limited,BE,04-JUL-2013,6,1,INE220J01025,6
498,FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1,1,INE512B01022,1
499,FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1
500,FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2
501,FEL,Future Enterprises Limited,EQ,05-NOV-2001,2,1,INE623B01027,2
502,FELDVR,Future Enterprises Limited,EQ,13-FEB-2009,2,1,IN9623B01058,2
503,FIBERWEB,Fiberweb (India) Limited,EQ,16-FEB-2022,10,1,INE296C01020,10
504,FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10
505,FILATEX,Filatex India Limited,EQ,29-AUG-2011,2,1,INE816B01027,2
506,FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2
507,FINEORG,Fine Organic Industries Limited,EQ,02-JUL-2018,5,1,INE686Y01026,5
508,FINOPB,Fino Payments Bank Limited,EQ,12-NOV-2021,10,1,INE02NC01014,10
509,FINPIPE,Finolex Industries Limited,EQ,08-FEB-1995,2,1,INE183A01024,2
510,FIVESTAR,Five-Star Business Finance Limited,EQ,21-NOV-2022,1,1,INE128S01021,1
511,FLEXITUFF,Flexituff Ventures International Limited,BE,19-OCT-2011,10,1,INE060J01017,10
512,FLFL,Future Lifestyle Fashions Limited,EQ,01-OCT-2013,2,1,INE452O01016,2
513,FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-OCT-2019,1,1,INE09N301011,1
514,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10
515,FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10,1,INE360L01017,10
516,FOCUS,Focus Lighting and Fixtures Limited,EQ,24-NOV-2021,10,1,INE593W01010,10
517,FOODSIN,Foods & Inns Limited,EQ,16-NOV-2021,1,1,INE976E01023,1
518,FORCEMOT,FORCE MOTORS LTD,EQ,03-NOV-1994,10,1,INE451A01017,10
519,FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10
520,FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10
521,FSC,Future Supply Chain Solutions Limited,BE,18-DEC-2017,10,1,INE935Q01015,10
522,FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10
523,FUSION,Fusion Micro Finance Limited,EQ,15-NOV-2022,10,1,INE139R01012,10
524,GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1
525,GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1
526,GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
527,GAL,Gyscoal Alloys Limited,EQ,27-OCT-2010,1,1,INE482J01021,1
528,GALAXYSURF,Galaxy Surfactants Limited,EQ,08-FEB-2018,10,1,INE600K01018,10
529,GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10
530,GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5
531,GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10
532,GANESHBE,Ganesh Benzoplast Limited,EQ,16-SEP-2021,1,1,INE388A01029,1
533,GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10
534,GANGAFORGE,Ganga Forging Limited,EQ,06-JUL-2021,1,1,INE691Z01023,1
535,GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10
536,GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10
537,GATEWAY,Gateway Distriparks Limited,EQ,22-MAR-2022,10,1,INE079J01017,10
538,GATI,GATI Limited,EQ,10-OCT-2006,2,1,INE152B01027,2
539,GAYAHWS,Gayatri Highways Limited,BE,28-JUN-2018,2,1,INE287Z01012,2
540,GAYAPROJ,Gayatri Projects Limited,BE,22-AUG-2011,2,1,INE336H01023,2
541,GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10
542,GEEKAYWIRE,Geekay Wires Limited,EQ,06-MAR-2020,10,1,INE669X01016,10
543,GENCON,Generic Engineering Construction and Projects Limited,EQ,16-FEB-2021,5,1,INE854S01022,5
544,GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5
545,GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1
546,GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1
547,GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1
548,GEPIL,GE Power India Limited,EQ,19-APR-2000,10,1,INE878A01011,10
549,GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10
550,GET&D,GE T&D India Limited,EQ,30-JUN-2008,2,1,INE200A01026,2
551,GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1
552,GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10
553,GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10
554,GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5
555,GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,10,1,INE047B01011,10
556,GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10
557,GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10
558,GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10
559,GKWLIMITED,GKW Limited,EQ,20-JUL-2009,10,1,INE528A01020,10
560,GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1
561,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10
562,GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1
563,GLFL,Gujarat Lease Financing Limited,BE,08-FEB-1995,10,1,INE540A01017,10
564,GLOBAL,Global Education Limited,EQ,07-DEC-2020,5,1,INE291W01029,5
565,GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10
566,GLOBE,Globe Textiles (India) Limited,EQ,07-OCT-2020,2,1,INE581X01021,2
567,GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10,1,INE615I01010,10
568,GLS,Glenmark Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2
569,GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10,1,INE075D01018,10
570,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2
571,GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,INE541A01023,2
572,GMRINFRA,GMR Airports Infrastructure Limited,EQ,21-AUG-2006,1,1,INE776C01039,1
573,GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5,1,INE0CU601026,5
574,GNA,GNA Axles Limited,EQ,26-SEP-2016,10,1,INE934S01014,10
575,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10
576,GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10
577,GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2,1,INE077F01035,2
578,GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10,1,INE0BJS01011,10
